Model,AUC,AP,NDCG@10,Brier,Faithfulness_gap,Stability_Jaccard
DarkTrace Explainable Ensemble,0.9752,0.9757,0.9969,0.0537,0.0506,0.299
Black-box MLP (baseline),0.9707,0.9715,1.0,0.0754,NA,NA
