Model_dataset,Accuracy,Macro_F1,AUC,FPR
DarkTrace RandomForest (CIC-Darknet2020),0.8718,0.7766,0.9615,0.0182
DarkTrace HistGradientBoosting (CIC-Darknet2020),0.8746,0.7942,0.99,0.0178
